<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VCB,20230609,100000,102000,99000,100500,46500
VCB,20230608,97000,98300,97000,97900,139500
VCB,20230607,99000,99000,97000,97000,794600
VCB,20230606,98000,99000,96500,99000,779500
VCB,20230605,95200,98700,95200,98000,1362801
VCB,20230602,93900,95000,93300,94900,1457800
VCB,20230601,94600,94600,93200,93900,711300
VCB,20230531,93900,94100,93100,94000,420100
VCB,20230530,93100,94800,92400,94500,1307500
VCB,20230529,92000,95000,92000,93100,630500
VCB,20230526,93200,93500,92000,92000,1026700
VCB,20230525,92600,94000,91400,93200,626600
VCB,20230524,92800,92800,91900,92600,385200
VCB,20230523,93000,93600,92100,92800,568800
VCB,20230522,93000,93900,92200,93100,665300
VCB,20230519,94500,94900,92600,94200,609900
VCB,20230518,92900,96000,92200,95000,1894800
VCB,20230517,92500,93000,92300,92800,799400
VCB,20230516,92000,93100,91300,92600,901600
VCB,20230515,92000,93000,91200,91700,678901
VCB,20230512,91000,92800,90800,92800,893500
VCB,20230511,92000,92100,91000,91000,681600
VCB,20230510,91900,93000,91600,92000,820400
VCB,20230509,93000,93900,92300,92300,1019400
VCB,20230508,90000,93200,89800,93000,1563200
VCB,20230505,88500,89900,88200,89800,600500
VCB,20230504,90000,90000,88500,88500,559001
VCB,20230428,90000,90500,88800,90500,740700
VCB,20230427,88700,90500,88400,90000,721300
VCB,20230426,88000,89500,87900,89400,4045974
VCB,20230425,88200,88500,87500,88300,565800
VCB,20230424,88000,88500,87000,87900,585200
VCB,20230421,88000,88100,87400,87500,1056500
VCB,20230420,88800,88800,88000,88300,257800
VCB,20230419,88100,88700,88000,88500,492900
VCB,20230418,88300,88600,87500,88000,758100
VCB,20230417,88400,88500,87800,88400,524900
VCB,20230414,88300,89100,88200,88400,477800
VCB,20230413,88300,88500,87800,88200,567000
VCB,20230412,88300,88600,88000,88300,581400
VCB,20230411,89000,90000,88200,88200,827600
VCB,20230410,90000,90000,89000,89000,682300
VCB,20230407,91000,91100,89500,90000,843200
VCB,20230406,91500,92100,91200,91200,419300
VCB,20230405,92300,92300,91100,92100,432000
VCB,20230404,92800,92900,91600,92000,312900
VCB,20230403,91700,92900,91200,92800,812700
VCB,20230331,92800,93200,90500,91400,1033600
VCB,20230330,92300,93200,92000,92700,605700
VCB,20230329,92500,92500,90500,92300,422800
VCB,20230328,90800,92900,90100,91800,888800
VCB,20230327,89000,91000,88000,91000,826100
VCB,20230324,91000,91000,88900,89000,673000
VCB,20230323,88800,90700,87300,90700,1945500
VCB,20230322,86600,89900,86600,89000,1098800
VCB,20230321,85400,89900,85400,86500,1173400
VCB,20230320,89000,89500,85100,85100,1077000
VCB,20230317,91000,91100,89000,89000,2272200
VCB,20230316,91000,92000,89500,91000,806000
VCB,20230315,91600,92000,91100,91400,850800
VCB,20230314,91000,91200,90500,91000,906700
VCB,20230313,92000,92000,90800,91500,759200
VCB,20230310,92200,92500,91500,92100,773800
VCB,20230309,92000,93400,91700,93000,1118100
VCB,20230308,91000,92200,90700,92200,871900
VCB,20230307,91500,92500,91100,91900,1053300
VCB,20230306,91000,92200,91000,91000,711900
VCB,20230303,91800,92800,90900,90900,864600
VCB,20230302,93000,93800,91800,93200,984700
VCB,20230301,92300,93400,92200,93000,775700
VCB,20230228,93100,93700,92600,93500,625800
VCB,20230227,93000,93500,91700,92800,521000
VCB,20230224,93000,94000,90000,93500,691400
VCB,20230223,93000,94000,91200,93300,1045700
VCB,20230222,94200,94300,92500,93000,1071500
VCB,20230221,94200,94900,94000,94200,695500
VCB,20230220,93000,94500,93000,93800,1161000
VCB,20230217,93000,93300,92000,93000,949200
VCB,20230216,93000,94000,92200,92400,842600
VCB,20230215,92500,94200,91200,93000,899300
VCB,20230214,93500,93500,91200,92500,1178100
VCB,20230213,94800,95400,92000,93500,892700
VCB,20230210,94500,94500,92800,94500,713700
VCB,20230209,93800,95000,93000,93000,840300
VCB,20230208,92100,96200,92100,94200,950800
VCB,20230207,95300,95500,92000,92000,1469200
VCB,20230206,92600,96300,91500,96000,1430100
VCB,20230203,90300,93000,89100,93000,933400
VCB,20230202,88600,92000,88600,90600,1030600
VCB,20230201,92000,92500,89100,89100,1136400
VCB,20230131,89900,91900,87800,91900,1533700
VCB,20230130,92100,92500,89800,89900,1045000
VCB,20230127,93000,94600,91500,93000,1585800
VCB,20230119,89500,96000,87500,93000,1776800
VCB,20230118,90000,91000,89400,90000,884000
VCB,20230117,88500,89400,87300,89400,644600
VCB,20230116,86000,88500,86000,87300,1034000
VCB,20230113,85200,86500,85200,85800,822000
VCB,20230112,85200,85200,83800,84800,1965000
VCB,20230111,87300,87300,85100,85100,1313000
VCB,20230110,86200,89900,86200,87300,2198500
VCB,20230109,85800,86900,84800,86900,1667100
VCB,20230106,84000,84800,83900,84000,1261500
VCB,20230105,82800,84000,82500,84000,1078600
VCB,20230104,82900,82900,81800,82800,973900
VCB,20230103,80200,82600,80200,82600,1089800
VCB,20221230,82900,83100,80000,80000,1510900
VCB,20221229,82300,82500,80500,80700,1373400
VCB,20221228,80400,82000,79500,80000,1173500
VCB,20221227,80200,80500,78900,79100,1194000
VCB,20221226,79200,80800,78900,78900,1203600
VCB,20221223,80200,81200,79100,79100,1385200
VCB,20221222,79500,81100,79300,79300,1100300
VCB,20221221,81400,81400,78700,78700,962000
VCB,20221220,79700,82000,79000,79000,1560400
VCB,20221219,80000,81000,79000,79200,757500
VCB,20221216,79500,82900,78900,79700,3410700
VCB,20221215,78800,80700,78600,79500,1250400
VCB,20221214,79700,79700,78500,78800,1246300
VCB,20221213,78100,79300,77900,78200,2232500
VCB,20221212,78800,80500,77400,77400,2405700
VCB,20221209,78400,79200,77100,77300,1750100
VCB,20221208,79000,81000,77000,77000,2479700
VCB,20221207,80000,82000,78000,78500,1589800
VCB,20221206,85000,85200,80000,80000,1378000
VCB,20221205,84100,87000,82500,85000,1664000
VCB,20221202,79900,85000,79300,85000,1377300
VCB,20221201,80900,81400,79200,80000,1178900
VCB,20221130,80300,81000,77000,81000,1458600
VCB,20221129,76000,79800,76000,79800,1707400
VCB,20221128,74500,77000,73800,76700,2356900
VCB,20221125,73100,73600,72800,73100,1875100
VCB,20221124,73500,74000,72500,73000,1135000
VCB,20221123,73000,73500,72400,73500,1773000
VCB,20221122,74500,76000,72500,73500,1936000
VCB,20221121,76500,76500,75000,75000,1224900
VCB,20221118,75900,76900,73600,76500,1564800
VCB,20221117,76100,76600,75500,76500,1845700
VCB,20221116,70300,78000,70300,75100,3319800
VCB,20221115,74400,76400,72100,75000,2001800
VCB,20221114,75500,76500,74100,75100,1836500
VCB,20221111,73000,75500,73000,75500,1931600
VCB,20221110,73900,73900,71600,72800,1517500
VCB,20221109,73500,74200,72600,74000,1214800
VCB,20221108,72000,75000,71600,72600,2258900
VCB,20221107,71800,73000,71100,71800,1760000
VCB,20221104,71500,72500,68900,71800,1578000
VCB,20221103,72000,73400,72000,73000,754600
VCB,20221102,74000,74500,72000,73600,1255100
VCB,20221101,74000,75000,73300,75000,826100
VCB,20221031,73500,73500,72500,73500,659400
VCB,20221028,72500,74500,71600,71600,1561000
VCB,20221027,70500,72900,69300,71700,1297800
VCB,20221026,70600,70600,68500,70000,651400
VCB,20221025,66000,70600,66000,69900,1694200
VCB,20221024,69500,69500,65800,68000,874100
VCB,20221021,69200,70700,68000,68000,1454700
VCB,20221020,67900,70000,67100,69200,1577282
VCB,20221019,67900,68000,67300,67900,696400
VCB,20221018,68000,68000,67300,67700,905000
VCB,20221017,67300,68000,65500,66300,1301400
VCB,20221014,68500,68500,67300,68100,1838300
VCB,20221013,64100,66500,62700,66500,1666800
VCB,20221012,63000,65300,62200,64000,1586400
VCB,20221011,65300,66000,62000,62000,1531700
VCB,20221010,66500,67700,64100,65100,1366000
VCB,20221007,69600,69600,65300,66700,2203700
VCB,20221006,72000,72000,69900,70100,865600
VCB,20221005,71400,72000,71100,71500,929000
VCB,20221004,70000,71900,69500,71300,1280900
VCB,20221003,73500,73800,70300,70600,919900
VCB,20220930,73200,74300,72400,73200,1776400
VCB,20220929,76000,76000,74000,74000,587800
VCB,20220928,74000,75000,73800,75000,587700
VCB,20220927,76000,76000,74200,74300,673400
VCB,20220926,75100,77000,74100,75000,1734900
VCB,20220923,77200,77700,75800,75900,1054100
VCB,20220922,77700,78600,77500,78000,1255000
VCB,20220921,79300,79600,77900,78900,1519200
VCB,20220920,78800,80000,78600,79200,521200
VCB,20220919,79000,80200,78000,78800,1030500
VCB,20220916,79300,80000,78500,80000,1519200
VCB,20220915,78500,79300,78100,79200,804200
VCB,20220914,77200,79500,77000,78300,1085800
VCB,20220913,79400,79400,78600,78600,2154900
VCB,20220912,79600,79700,78800,79100,1025800
VCB,20220909,78500,79300,78200,78800,2704640
VCB,20220908,80900,80900,78000,78000,1424300
VCB,20220907,82000,82500,79800,80000,2365300
VCB,20220906,82600,84000,82100,82700,1027300
VCB,20220905,84000,84300,82500,82600,1582800
VCB,20220831,86000,86500,84000,84000,1127900
VCB,20220830,82500,86000,82500,86000,2562800
VCB,20220829,81400,82500,80900,82500,1063500
VCB,20220826,82000,83700,82000,82500,1594500
VCB,20220825,82200,82200,81300,82000,630800
VCB,20220824,81200,82900,80300,82000,1135700
VCB,20220823,80000,81300,79900,80200,813000
VCB,20220822,80100,81500,80000,80000,617800
VCB,20220819,80600,82000,80600,80900,1200000
VCB,20220818,81300,82000,81200,81500,1713600
VCB,20220817,81200,81700,81200,81500,851000
VCB,20220816,82000,82000,81100,81500,1016700
VCB,20220815,82000,82300,81700,81800,1319500
VCB,20220812,81500,81900,80900,81600,1398800
VCB,20220811,81300,82000,80600,81500,1223500
VCB,20220810,80100,81000,80100,80500,547500
VCB,20220809,82000,82000,79900,80800,1304900
VCB,20220808,82000,82500,81900,82000,967000
VCB,20220805,82000,82400,81100,82000,1395800
VCB,20220804,79500,82500,79400,82500,2348100
VCB,20220803,78300,79500,78000,79500,1857700
VCB,20220802,77000,79200,76000,78900,1777800
VCB,20220801,74700,77000,74400,77000,1664300
VCB,20220729,75400,75500,74700,74700,2499000
VCB,20220728,75400,75600,74800,75300,1193800
VCB,20220727,74000,75000,73700,75000,1369900
VCB,20220726,73200,74400,73200,73900,1119800
VCB,20220725,72400,73200,72000,72900,991700
VCB,20220722,72100,72700,72000,72500,1119600
VCB,20220721,72500,72900,72100,72500,1164600
VCB,20220720,71600,72500,71600,72500,573900
VCB,20220719,72000,72100,71100,71300,922100
VCB,20220718,72500,72900,72000,72000,391400
VCB,20220715,72100,73500,72100,72300,626500
VCB,20220714,71800,72800,71600,72400,439400
VCB,20220713,71800,73400,71400,71800,1379900
VCB,20220712,72100,72600,71700,71900,840500
VCB,20220711,73300,73500,72000,72000,756800
VCB,20220708,74900,75000,73900,74000,761000
VCB,20220707,72700,75500,71700,75500,1287400
VCB,20220706,73700,73900,68900,72800,1644200
VCB,20220705,74900,74900,73600,74000,1064500
VCB,20220704,74900,75200,73900,74100,786200
VCB,20220701,74500,75000,72900,74000,1383000
VCB,20220630,75500,76000,74800,74800,794468
VCB,20220629,75800,75900,75300,75500,1387500
VCB,20220628,75000,77000,74800,76300,1095800
VCB,20220627,75500,76000,74800,74900,958500
VCB,20220624,76200,76300,74600,75000,688600
VCB,20220623,75100,76700,74900,75900,590200
VCB,20220622,77900,78000,75000,76000,2165200
VCB,20220621,76000,77700,75200,77700,977100
VCB,20220620,79500,79500,75300,76000,1089700
VCB,20220617,77000,78300,76100,76100,1071600
VCB,20220616,76700,80000,76500,79100,1324600
VCB,20220615,77400,78300,75300,76500,1243600
VCB,20220614,75500,78100,74000,77000,1087200
VCB,20220613,77000,77000,74100,76400,1220800
VCB,20220610,77800,79000,77400,77700,390900
VCB,20220609,79000,79900,77700,77800,1067500
VCB,20220608,81000,81000,78800,79200,1219700
VCB,20220607,79000,82000,78100,81000,1014000
VCB,20220606,77500,80000,75100,79700,880500
VCB,20220603,78400,79500,76400,77500,582800
VCB,20220602,80800,80800,79000,79000,742483
VCB,20220601,79000,80500,79000,80500,798800
VCB,20220531,78900,78900,78000,78900,1188700
VCB,20220530,77400,81000,76400,78000,1408400
VCB,20220527,76700,77400,76300,77400,892000
VCB,20220526,77000,77100,76000,76700,1033900
VCB,20220525,76000,77000,74800,77000,898000
VCB,20220524,74900,75700,74300,75600,898700
VCB,20220523,75600,75600,73600,74400,686600
VCB,20220520,75100,76500,75000,75300,742800
VCB,20220519,75000,76700,74800,76000,575800
VCB,20220518,77000,77000,75000,75400,936000
VCB,20220517,74200,77000,73100,76000,2346300
VCB,20220516,75500,76400,74000,74200,1558800
VCB,20220513,77000,78000,73000,73000,1983664
VCB,20220512,79000,79900,77000,77000,1016300
VCB,20220511,80000,80300,79000,80000,1026300
VCB,20220510,77100,80000,77100,80000,926000
VCB,20220509,78800,80400,77800,77900,1718200
VCB,20220506,79700,81200,79400,79400,1330900
VCB,20220505,80500,81500,79600,81000,1019300
VCB,20220504,80900,81000,79000,79900,936600
VCB,20220429,81400,82300,80000,80900,28854200
VCB,20220428,81500,81600,79500,81500,564100
VCB,20220427,79900,82000,78200,81500,2334900
VCB,20220426,79000,80500,79000,80500,2507000
VCB,20220425,82200,83000,77000,81800,2879400
VCB,20220422,79100,82600,79100,82200,4820600
VCB,20220421,78400,79200,78200,78400,2178200
VCB,20220420,78000,78900,77700,78400,904600
VCB,20220419,77800,78500,77600,77700,1047400
VCB,20220418,80000,80200,77600,77700,1292300
VCB,20220415,81200,81500,80200,80200,934800
VCB,20220414,82400,82900,81000,81000,1175400
VCB,20220413,83000,83100,82000,82400,905700
VCB,20220412,83000,83200,81600,82400,881300
VCB,20220408,83900,83900,82900,83000,812200
VCB,20220407,84900,85200,83000,83000,983000
VCB,20220406,82900,85000,81700,84600,2009600
VCB,20220405,82800,83200,82600,83000,526100
VCB,20220404,83200,84100,82600,82600,792000
VCB,20220401,82100,83600,81100,82800,984300
VCB,20220331,82000,82600,82000,82100,492400
VCB,20220330,81800,83500,81500,82000,968900
VCB,20220329,82400,83000,81600,81900,1048600
VCB,20220328,83000,83000,82000,82400,779400
VCB,20220325,84000,84000,82000,82500,1192800
VCB,20220324,84900,84900,83500,83500,600200
VCB,20220323,84900,85600,84900,84900,1020600
VCB,20220322,84900,85500,84900,84900,1009600
VCB,20220321,84200,85500,84000,84900,963900
VCB,20220318,83100,85200,82900,84200,1436600
VCB,20220317,83000,83500,82700,83000,1301400
VCB,20220316,81300,83200,81300,82500,1030600
VCB,20220315,84000,84100,81000,81100,2415900
VCB,20220314,83300,84200,83200,84200,1517200
VCB,20220311,83700,83900,83000,83800,906100
VCB,20220310,83000,83700,82900,83500,1184100
VCB,20220309,81800,83100,81700,83000,1404300
VCB,20220308,83800,84500,81500,81500,2966300
VCB,20220307,84300,84900,83900,84900,1782800
VCB,20220304,85200,85500,84800,84900,1137100
VCB,20220303,85000,85500,84700,85500,1052200
VCB,20220302,85600,85600,84200,85000,1715600
VCB,20220301,84500,85400,84100,85000,1374400
VCB,20220228,85100,85100,84400,84500,1322100
VCB,20220225,85300,85900,85000,85100,1676500
VCB,20220224,86700,86800,85000,85300,2157700
VCB,20220223,87000,87000,85800,86900,986300
VCB,20220222,87000,87000,85000,86800,1600200
VCB,20220221,86600,87600,86600,87400,1096900
VCB,20220218,86400,87500,86400,87200,1066200
VCB,20220217,87000,87700,86800,87500,1491200
VCB,20220216,87500,87900,86400,87000,1365000
VCB,20220215,86000,88300,83800,87000,2453500
VCB,20220214,88100,88800,86000,86000,3709138
VCB,20220211,91300,91600,90000,90000,17258100
VCB,20220210,91100,93400,91000,91300,1827200
VCB,20220209,91200,91900,90300,90800,1612900
VCB,20220208,92400,92400,90100,92000,1225400
VCB,20220207,90600,92900,89500,92400,1725600
VCB,20220128,91000,92000,89000,89000,2140700
VCB,20220127,93000,94500,90400,91000,1732900
VCB,20220126,95800,95800,92600,94500,2523500
VCB,20220125,92500,96000,89000,95800,2396600
VCB,20220124,89400,93500,88200,93000,2728300
VCB,20220121,86900,90000,86100,89200,2611300
VCB,20220120,85200,87500,83100,87100,2794300
VCB,20220119,87500,87500,85000,86800,1414800
VCB,20220118,85500,87600,84000,87600,1735600
VCB,20220117,83000,88000,82300,86200,2668530
VCB,20220114,81900,83400,81000,83400,1552100
VCB,20220113,80500,84400,80200,81900,2571800
VCB,20220112,79400,80000,78000,80000,2301500
VCB,20220111,80000,80000,78500,79400,1081700
VCB,20220110,79700,79900,78500,79500,1156000
VCB,20220107,79600,79900,78200,79800,966200
VCB,20220106,78600,79900,77900,79100,1215600
VCB,20220105,79000,80400,78000,78000,1692100
VCB,20220104,79000,79400,78000,79000,1133800
VCB,20211231,79000,79200,78400,78800,422000
VCB,20211230,79800,79900,77700,78400,1009300
VCB,20211229,79500,79800,79100,79500,440000
VCB,20211228,80000,81000,78000,80000,2368800
VCB,20211227,78900,80300,77900,79800,934100
VCB,20211224,76800,78500,76800,78500,849400
VCB,20211223,77500,78900,76500,76500,1489000
VCB,20211222,77000,77800,76600,76900,1915300
VCB,20211221,76644.81712943595,77264.16918704756,76257.7220934287,76567.3981222345,774100
VCB,20211220,76257.7220934287,77031.91216544321,75948.0460646229,77031.91216544321,841900
VCB,20211217,77419.00720145045,77419.00720145045,74709.34194939969,74709.34194939969,3475700
VCB,20211216,78038.35925906205,78038.35925906205,75948.0460646229,76722.23613663741,1047100
VCB,20211215,77031.91216544321,77960.94025186061,76644.81712943595,77341.58819424901,837300
VCB,20211214,77109.33117264466,77806.10223745772,76722.23613663741,76877.0741510403,862300
VCB,20211213,78967.38734547947,78967.38734547947,76799.65514383886,77109.33117264466,1098000
VCB,20211210,78193.19727346496,79586.73940309107,77341.58819424901,77419.00720145045,1934200
VCB,20211209,75406.11301421275,76954.49315824175,75328.69400701129,76799.65514383886,960000
VCB,20211208,75870.62705742144,76954.49315824175,75870.62705742144,76412.5601078316,507500
VCB,20211207,74399.66592059389,76954.49315824175,74399.66592059389,76025.46507182435,873000
VCB,20211206,75870.62705742144,77419.00720145045,73857.73287018374,73857.73287018374,1091600
VCB,20211203,76799.65514383886,78038.35925906205,75483.5320214142,75870.62705742144,795900
VCB,20211202,77651.26422305481,78038.35925906205,76489.97911503306,76722.23613663741,787700
VCB,20211201,76954.49315824175,78580.29230947222,76102.8840790258,76644.81712943595,634500
VCB,20211130,80515.76748950848,80515.76748950848,76567.3981222345,76567.3981222345,1336500
VCB,20211129,79973.83443909833,81212.53855432152,78193.19727346496,78270.6162806664,851000
VCB,20211126,82606.08068394764,83767.3657919694,80515.76748950848,81289.95756152298,962600
VCB,20211125,81289.95756152298,83612.52777756649,80980.28153271718,82915.75671275344,1557500
VCB,20211124,76799.65514383886,81754.47160473168,76799.65514383886,81135.11954712008,1883300
VCB,20211123,76644.81712943595,76722.23613663741,76025.46507182435,76722.23613663741,658200
VCB,20211122,75328.69400701129,76567.3981222345,75173.8559926084,76489.97911503306,1078900
VCB,20211119,75251.27499980984,75793.20805022,75173.8559926084,75173.8559926084,413000
VCB,20211118,76102.8840790258,76102.8840790258,75096.43698540694,75096.43698540694,818700
VCB,20211117,75251.27499980984,75948.0460646229,75251.27499980984,75870.62705742144,850300
VCB,20211116,75638.37003581709,76257.7220934287,75096.43698540694,75251.27499980984,706300
VCB,20211115,76102.8840790258,76644.81712943595,75251.27499980984,75638.37003581709,834700
VCB,20211112,76102.8840790258,76102.8840790258,75483.5320214142,76025.46507182435,676800
VCB,20211111,75715.78904301855,76877.0741510403,75096.43698540694,76102.8840790258,1115600
VCB,20211110,75173.8559926084,76025.46507182435,74941.59897100404,75560.95102861564,877100
VCB,20211109,75870.62705742144,76335.14110063015,75096.43698540694,75173.8559926084,1434400
VCB,20211108,75948.0460646229,76180.30308622724,75483.5320214142,76025.46507182435,1206200
VCB,20211105,75483.5320214142,76644.81712943595,75096.43698540694,75483.5320214142,1576000
VCB,20211104,76412.5601078316,76489.97911503306,75251.27499980984,76180.30308622724,989400
VCB,20211103,75638.37003581709,76489.97911503306,75328.69400701129,76412.5601078316,2358300
VCB,20211102,75406.11301421275,75870.62705742144,75328.69400701129,75793.20805022,808300
VCB,20211101,75948.0460646229,76025.46507182435,75096.43698540694,75096.43698540694,1077500
VCB,20211029,75328.69400701129,76180.30308622724,75019.01797820549,75870.62705742144,1304800
VCB,20211028,74786.76095660114,75793.20805022,74399.66592059389,75793.20805022,1858200
VCB,20211027,73238.38081257213,74709.34194939969,73006.12379096779,74399.66592059389,1465800
VCB,20211026,72851.28577656488,73238.38081257213,72464.19074055763,72773.86676936343,735000
VCB,20211025,74244.82790619099,74244.82790619099,72851.28577656488,72851.28577656488,800600
VCB,20211022,73548.05684137794,73548.05684137794,72773.86676936343,73006.12379096779,322000
VCB,20211021,73857.73287018374,74322.24691339243,72773.86676936343,72773.86676936343,1329100
VCB,20211020,74631.92294219825,74864.1799638026,72773.86676936343,73548.05684137794,1561000
VCB,20211019,74399.66592059389,74709.34194939969,73702.89485578083,74631.92294219825,918300
VCB,20211018,74554.50393499678,75096.43698540694,73548.05684137794,74322.24691339243,1350900
VCB,20211015,74941.59897100404,75328.69400701129,74709.34194939969,74709.34194939969,731500
VCB,20211014,75096.43698540694,75251.27499980984,74244.82790619099,74864.1799638026,1866700
VCB,20211013,75793.20805022,75870.62705742144,75096.43698540694,75096.43698540694,1555800
VCB,20211012,76102.8840790258,76102.8840790258,75096.43698540694,75096.43698540694,913500
VCB,20211011,75096.43698540694,76180.30308622724,74941.59897100404,75483.5320214142,1178000
VCB,20211008,74786.76095660114,75096.43698540694,74012.57088458663,75096.43698540694,785500
VCB,20211007,74012.57088458663,74941.59897100404,73548.05684137794,74941.59897100404,847200
VCB,20211006,74012.57088458663,74012.57088458663,73393.21882697503,74012.57088458663,773200
VCB,20211005,73625.47584857939,74399.66592059389,73625.47584857939,74012.57088458663,1061700
VCB,20211004,74322.24691339243,74709.34194939969,73083.54279816923,73238.38081257213,959300
VCB,20211001,75328.69400701129,76025.46507182435,74167.40889898954,74244.82790619099,3061848
VCB,20210930,76257.7220934287,76335.14110063015,75173.8559926084,75251.27499980984,1287900
VCB,20210929,77031.91216544321,77031.91216544321,75483.5320214142,76257.7220934287,565000
VCB,20210928,75715.78904301855,76877.0741510403,75483.5320214142,76799.65514383886,566500
VCB,20210927,77031.91216544321,77186.7501798461,75870.62705742144,75870.62705742144,518900
VCB,20210924,77031.91216544321,77264.16918704756,76877.0741510403,77031.91216544321,454700
VCB,20210923,77109.33117264466,77728.68323025625,76257.7220934287,77031.91216544321,758000
VCB,20210922,76180.30308622724,77031.91216544321,75870.62705742144,77031.91216544321,916200
VCB,20210921,77031.91216544321,77264.16918704756,75870.62705742144,75870.62705742144,862000
VCB,20210920,75328.69400701129,78193.19727346496,75328.69400701129,77109.33117264466,2359900
VCB,20210917,75483.5320214142,76180.30308622724,75251.27499980984,75251.27499980984,1023200
VCB,20210916,76567.3981222345,76567.3981222345,75483.5320214142,75948.0460646229,570400
VCB,20210915,76102.8840790258,76102.8840790258,75173.8559926084,75173.8559926084,880500
VCB,20210914,75948.0460646229,76257.7220934287,75096.43698540694,76102.8840790258,2751500
VCB,20210913,76489.97911503306,76644.81712943595,75948.0460646229,75948.0460646229,1043100
VCB,20210910,77264.16918704756,77264.16918704756,76335.14110063015,76799.65514383886,939800
VCB,20210909,77186.7501798461,77496.4262086519,76335.14110063015,76877.0741510403,838200
VCB,20210908,77419.00720145045,77496.4262086519,74941.59897100404,77186.7501798461,928000
VCB,20210907,77341.58819424901,78038.35925906205,77264.16918704756,77419.00720145045,1123800
VCB,20210906,76954.49315824175,77496.4262086519,76954.49315824175,77419.00720145045,978700
VCB,20210901,76954.49315824175,77341.58819424901,74322.24691339243,76954.49315824175,907500
VCB,20210831,77031.91216544321,77341.58819424901,76102.8840790258,76954.49315824175,1013900
VCB,20210830,76180.30308622724,76954.49315824175,75715.78904301855,76877.0741510403,1542495
VCB,20210827,74322.24691339243,76257.7220934287,74322.24691339243,75715.78904301855,1106600
VCB,20210826,75715.78904301855,76644.81712943595,74941.59897100404,74941.59897100404,1158900
VCB,20210825,75096.43698540694,76644.81712943595,74941.59897100404,75483.5320214142,1119200
VCB,20210824,76799.65514383886,76799.65514383886,74709.34194939969,75096.43698540694,1090100
VCB,20210823,76644.81712943595,77419.00720145045,74786.76095660114,75328.69400701129,2136200
VCB,20210820,78348.03528786787,78889.96833827802,76954.49315824175,77496.4262086519,1860500
VCB,20210819,77960.94025186061,79741.57741749397,77264.16918704756,79586.73940309107,2617600
VCB,20210818,78193.19727346496,79354.48238148671,77186.7501798461,78193.19727346496,1848000
VCB,20210817,79354.48238148671,79741.57741749397,78193.19727346496,78193.19727346496,1930700
VCB,20210816,77109.33117264466,77883.52124465916,76644.81712943595,77883.52124465916,2053400
VCB,20210813,77341.58819424901,77341.58819424901,76102.8840790258,77109.33117264466,1568900
VCB,20210812,77806.10223745772,78038.35925906205,77031.91216544321,77341.58819424901,1048600
VCB,20210811,76877.0741510403,78735.13032387511,76722.23613663741,77806.10223745772,1711800
VCB,20210810,76644.81712943595,76799.65514383886,76257.7220934287,76644.81712943595,1597400
VCB,20210809,75948.0460646229,76567.3981222345,75638.37003581709,76102.8840790258,1290900
VCB,20210806,77264.16918704756,77264.16918704756,75948.0460646229,75948.0460646229,1114400
